id,company_id,compounded_sales_growth,compounded_profit_growth,stock_price_cagr,roe,roce_percentage,roe_percentage
0,ADANIENSOL,3 Years: 19%,3 Years: -2%,,3 Years: 12%,9.0,8.59
1,ADANIENSOL,5 Years: 18%,5 Years: 16%,,5 Years: 10%,9.0,8.59
2,ADANIENSOL,10 Years: %,10 Years: %,,10 Years: 11%,9.0,8.59
3,ADANIENT,3 Years: 35%,3 Years: 47%,,3 Years: 7%,11.6,13.64
4,ADANIENT,5 Years: 19%,5 Years: 46%,,5 Years: 6%,11.6,13.64
5,ADANIENT,10 Years: 6%,10 Years: 2%,,10 Years: 7%,11.6,13.64
6,ADANIGREEN,3 Years: 43%,3 Years: 91%,,3 Years: 13%,96.5,14.7
7,ADANIGREEN,5 Years: 35%,5 Years: 36%,,5 Years: 9%,96.5,14.7
8,ADANIGREEN,10 Years: %,10 Years: %,,10 Years: %,96.5,14.7
10,ADANIPORTS,5 Years: 20%,5 Years: 15%,,5 Years: 14%,12.9,18.1
11,ADANIPORTS,10 Years: 19%,10 Years: 17%,,10 Years: 16%,12.9,18.1
9,ADANIPORTS,3 Years: 29%,3 Years: 17%,,3 Years: 14%,12.9,18.1
12,ADANIPOWER,3 Years: 24%,3 Years: 154%,,3 Years: 36%,32.2,57.1
13,ADANIPOWER,5 Years: 16%,5 Years: 87%,,5 Years: 29%,32.2,57.1
14,ADANIPOWER,10 Years: 13%,10 Years: 54%,,10 Years: 18%,32.2,57.1
15,AMBUJACEM,3 Years: 11%,3 Years: 15%,,3 Years: 12%,12.8,9.24
16,AMBUJACEM,5 Years: 5%,5 Years: 10%,,5 Years: 12%,12.8,9.24
17,AMBUJACEM,10 Years: 14%,10 Years: 14%,,10 Years: 11%,12.8,9.24
18,APOLLOHOSP,3 Years: 22%,3 Years: 90%,,3 Years: 13%,17.2,13.81
19,APOLLOHOSP,5 Years: 15%,5 Years: 36%,,5 Years: 12%,17.2,13.81
20,APOLLOHOSP,10 Years: 16%,10 Years: 11%,,10 Years: 10%,17.2,13.81
21,ASIANPAINT,3 Years: 18%,3 Years: 20%,,3 Years: 26%,41.75,31.45
22,ASIANPAINT,5 Years: 13%,5 Years: 20%,,5 Years: 26%,41.75,31.45
23,ASIANPAINT,10 Years: 11%,10 Years: 16%,,10 Years: 26%,41.75,31.45
24,ATGL,3 Years: 38%,3 Years: 13%,,3 Years: 20%,21.2,20.5
25,ATGL,5 Years: 21%,5 Years: 24%,,5 Years: 21%,21.2,20.5
26,ATGL,10 Years: %,10 Years: %,,10 Years: %,21.2,20.5
27,AXISBANK,3 Years: 20%,3 Years: 56%,,3 Years: 12%,7.06,18.4
28,AXISBANK,5 Years: 15%,5 Years: 40%,,5 Years: 11%,7.06,18.4
29,AXISBANK,10 Years: 14%,10 Years: 15%,,10 Years: 11%,7.06,18.4
30,BAJAJ-AUTO,3 Years: 17%,3 Years: 17%,,3 Years: 21%,33.5,26.5
31,BAJAJ-AUTO,5 Years: 8%,5 Years: 9%,,5 Years: 22%,33.5,26.5
32,BAJAJ-AUTO,10 Years: 8%,10 Years: 9%,,10 Years: 23%,33.5,26.5
33,BAJAJFINSV,3 Years: 22%,3 Years: 28%,,3 Years: 24%,21.14,11.72
34,BAJAJFINSV,5 Years: 21%,5 Years: 24%,,5 Years: 23%,21.14,11.72
35,BAJAJFINSV,10 Years: 34%,10 Years: 22%,,10 Years: 23%,21.14,11.72
36,BAJAJHLDNG,3 Years: 55%,3 Years: 26%,,3 Years: 11%,13.1,14.8
37,BAJAJHLDNG,5 Years: 32%,5 Years: 19%,,5 Years: 11%,13.1,14.8
38,BAJAJHLDNG,10 Years: 15%,10 Years: 14%,,10 Years: 12%,13.1,14.8
39,BAJFINANCE,3 Years: 27%,3 Years: 48%,,3 Years: 18%,11.9,22.1
40,BAJFINANCE,5 Years: 24%,5 Years: 29%,,5 Years: 18%,11.9,22.1
41,BAJFINANCE,10 Years: %,10 Years: %,,10 Years: %,11.9,22.1
42,BANKBARODA,3 Years: 17%,3 Years: 127%,,3 Years: 12%,6.33,16.7
43,BANKBARODA,5 Years: 17%,5 Years: 75%,,5 Years: 10%,6.33,16.7
44,BANKBARODA,10 Years: 11%,10 Years: 14%,,10 Years: 8%,6.33,16.7
45,BEL,3 Years: 13%,3 Years: 24%,,3 Years: 3997%,34.6,26.3
46,BEL,5 Years: 11%,5 Years: 16%,,5 Years: 3883%,34.6,26.3
47,BEL,10 Years: 12%,10 Years: 15%,,10 Years: 4670%,34.6,26.3
48,BHARTIARTL,3 Years: 14%,3 Years: 39%,,3 Years: 6%,13.1,14.9
49,BHARTIARTL,5 Years: 13%,5 Years: 38%,,5 Years: -3%,13.1,14.9
50,BHARTIARTL,10 Years: 6%,10 Years: 11%,,10 Years: 1%,13.1,14.9
51,BHEL,3 Years: 11%,3 Years: 28%,,3 Years: -1%,3.28,1.05
52,BHEL,5 Years: -5%,5 Years: -22%,,5 Years: -1%,3.28,1.05
53,BHEL,10 Years: -5%,10 Years: -22%,,10 Years: 1%,3.28,1.05
54,BOSCHLTD,3 Years: 20%,3 Years: 73%,,3 Years: 13%,20.6,16.0
55,BOSCHLTD,5 Years: 7%,5 Years: 9%,,5 Years: 13%,20.6,16.0
56,BOSCHLTD,10 Years: 7%,10 Years: 11%,,10 Years: 14%,20.6,16.0
57,BPCL,3 Years: 25%,3 Years: 16%,,3 Years: 25%,32.1,41.9
58,BPCL,5 Years: 8%,5 Years: 26%,,5 Years: 23%,32.1,41.9
59,BPCL,10 Years: 5%,10 Years: 21%,,10 Years: 24%,32.1,41.9
60,BRITANNIA,3 Years: 8%,3 Years: 5%,,3 Years: 58%,48.9,57.1
61,BRITANNIA,5 Years: 9%,5 Years: 13%,,5 Years: 47%,48.9,57.1
62,BRITANNIA,10 Years: 9%,10 Years: 18%,,10 Years: 44%,48.9,57.1
63,CANBK,3 Years: 16%,3 Years: 73%,,3 Years: 14%,6.63,17.9
64,CANBK,5 Years: 18%,5 Years: 86%,,5 Years: 11%,6.63,17.9
65,CANBK,10 Years: 11%,10 Years: 19%,,10 Years: 7%,6.63,17.9
66,CHOLAFIN,3 Years: 26%,3 Years: 31%,,3 Years: 18%,10.4,20.2
67,CHOLAFIN,5 Years: 22%,5 Years: 23%,,5 Years: 17%,10.4,20.2
68,CHOLAFIN,10 Years: 19%,10 Years: 25%,,10 Years: 17%,10.4,20.2
69,CIPLA,3 Years: 10%,3 Years: 20%,,3 Years: 13%,22.8,16.8
70,CIPLA,5 Years: 10%,5 Years: 23%,,5 Years: 12%,22.8,16.8
71,CIPLA,10 Years: 10%,10 Years: 11%,,10 Years: 12%,22.8,16.8
72,COALINDIA,3 Years: 16%,3 Years: 43%,,3 Years: 44%,63.6,52.0
73,COALINDIA,5 Years: 7%,5 Years: 16%,,5 Years: 47%,63.6,52.0
74,COALINDIA,10 Years: 7%,10 Years: 9%,,10 Years: 43%,63.6,52.0
75,DABUR,3 Years: 9%,3 Years: 2%,,3 Years: 20%,22.3,19.2
76,DABUR,5 Years: 8%,5 Years: 5%,,5 Years: 21%,22.3,19.2
77,DABUR,10 Years: 6%,10 Years: 7%,,10 Years: 23%,22.3,19.2
81,DLF,3 Years: 6%,3 Years: 36%,,3 Years: 5%,5.74,6.95
82,DLF,5 Years: -5%,5 Years: 16%,,5 Years: 4%,5.74,6.95
83,DLF,10 Years: -3%,10 Years: 17%,,10 Years: 4%,5.74,6.95
84,DMART,3 Years: 28%,3 Years: 32%,,3 Years: 12%,19.4,14.5
85,DMART,5 Years: 20%,5 Years: 23%,,5 Years: 13%,19.4,14.5
86,DMART,10 Years: 27%,10 Years: 32%,,10 Years: 13%,19.4,14.5
87,DRREDDY,3 Years: 14%,3 Years: 42%,,3 Years: 16%,26.5,21.4
88,DRREDDY,5 Years: 13%,5 Years: 23%,,5 Years: 15%,26.5,21.4
89,DRREDDY,10 Years: 8%,10 Years: 11%,,10 Years: 16%,26.5,21.4
90,EICHERMOT,3 Years: 24%,3 Years: 44%,,3 Years: 17%,31.1,24.2
91,EICHERMOT,5 Years: 11%,5 Years: 13%,,5 Years: 18%,31.1,24.2
92,EICHERMOT,10 Years: 9%,10 Years: 23%,,10 Years: 21%,31.1,24.2
93,GAIL,3 Years: 32%,3 Years: 17%,,3 Years: 13%,14.7,14.0
94,GAIL,5 Years: 12%,5 Years: 9%,,5 Years: 14%,14.7,14.0
95,GAIL,10 Years: 8%,10 Years: 8%,,10 Years: 13%,14.7,14.0
96,GODREJCP,3 Years: 9%,3 Years: -10%,,3 Years: 10%,26.49,6.77
97,GODREJCP,5 Years: 6%,5 Years: -4%,,5 Years: 14%,26.49,6.77
98,GODREJCP,10 Years: 6%,10 Years: -5%,,10 Years: 16%,26.49,6.77
100,GRASIM,5 Years: 11%,5 Years: 29%,,5 Years: 11%,9.3,6.9
101,GRASIM,10 Years: 17%,10 Years: 13%,,10 Years: 11%,9.3,6.9
99,GRASIM,3 Years: 20%,3 Years: 12%,,3 Years: 13%,9.3,6.9
102,HAL,3 Years: 10%,3 Years: 33%,,3 Years: 3229%,38.9,28.9
103,HAL,5 Years: 9%,5 Years: 26%,,5 Years: 2852%,38.9,28.9
104,HAL,10 Years: 7%,10 Years: 11%,,10 Years: %,38.9,28.9
105,HAVELLS,3 Years: 21%,3 Years: 7%,,3 Years: 18%,24.4,18.0
106,HAVELLS,5 Years: 13%,5 Years: 10%,,5 Years: 18%,24.4,18.0
107,HAVELLS,10 Years: 9%,10 Years: 11%,,10 Years: 20%,24.4,18.0
108,HCLTECH,3 Years: 13%,3 Years: 12%,,3 Years: 22%,29.6,23.3
109,HCLTECH,5 Years: 13%,5 Years: 9%,,5 Years: 22%,29.6,23.3
110,HCLTECH,10 Years: 13%,10 Years: 9%,,10 Years: 23%,29.6,23.3
111,HDFCBANK,3 Years: 30%,3 Years: 27%,,3 Years: 20%,7.67,17.1
112,HDFCBANK,5 Years: 22%,5 Years: 24%,,5 Years: 20%,7.67,17.1
113,HDFCBANK,10 Years: 21%,10 Years: 22%,,10 Years: 20%,7.67,17.1
114,HDFCLIFE,3 Years: 12%,3 Years: 5%,,3 Years: 11%,6.61,11.4
