company_id,company_name,pros,cons,last_updated
ADANIENSOL,Adani Energy Solutions Ltd,Strong sales growth: 19.0% over 3 Years. ||| Strong sales growth: 18.0% over 5 Years. ||| Profit growth is robust: 16.0% over 5 Years.,Profit growth is low: -2.0% over 3 Years. ||| ROE is low: 8.6%. ||| Low return on capital employed: 9.0%.,2025-08-15T12:09:30.439310
ADANIENT,Adani Enterprises Ltd,Profit growth is robust: 47.0% over 3 Years. ||| Profit growth is robust: 46.0% over 5 Years. ||| Strong sales growth: 35.0% over 3 Years.,Profit growth is low: 2.0% over 10 Years. ||| Low return on equity: 6.0% (5 Years). ||| Weak sales growth: only 6.0% over 10 Years.,2025-08-15T12:09:30.439852
ADANIGREEN,Adani Green Energy Ltd,Strong return on capital employed: 96.5%. ||| Profit growth is robust: 91.0% over 3 Years. ||| Strong sales growth: 43.0% over 3 Years.,Low return on equity: 9.0% (5 Years).,2025-08-15T12:09:30.441131
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Strong sales growth: 29.0% over 3 Years. ||| Strong sales growth: 20.0% over 5 Years. ||| Strong sales growth: 19.0% over 10 Years.,,2025-08-15T12:09:30.441131
ADANIPOWER,Adani Power Ltd,Profit growth is robust: 154.0% over 3 Years. ||| Profit growth is robust: 87.0% over 5 Years. ||| Healthy average ROE: 57.1%.,,2025-08-15T12:09:30.442128
AMBUJACEM,Ambuja Cements Ltd,Profit growth is robust: 15.0% over 3 Years. ||| Strong sales growth: 14.0% over 10 Years. ||| Profit growth is robust: 14.0% over 10 Years.,Weak sales growth: only 5.0% over 5 Years. ||| ROE is low: 9.2%. ||| Profit growth is low: 10.0% over 5 Years.,2025-08-15T12:09:30.443124
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",Profit growth is robust: 90.0% over 3 Years. ||| Profit growth is robust: 36.0% over 5 Years. ||| Strong sales growth: 22.0% over 3 Years.,Low return on equity: 10.0% (10 Years).,2025-08-15T12:09:30.443750
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Strong return on capital employed: 41.8%. ||| Healthy average ROE: 31.4%. ||| High return on equity: 26.0% (3 Years).,,2025-08-15T12:09:30.443750
ATGL,Adani Total Gas Ltd,Strong sales growth: 38.0% over 3 Years. ||| Profit growth is robust: 24.0% over 5 Years. ||| Strong return on capital employed: 21.2%.,,2025-08-15T12:09:30.443750
AXISBANK,Axis Bank Ltd,Profit growth is robust: 56.0% over 3 Years. ||| Profit growth is robust: 40.0% over 5 Years. ||| Strong sales growth: 20.0% over 3 Years.,Low return on capital employed: 7.1%.,2025-08-15T12:09:30.445332
BAJAJ-AUTO,Bajaj Auto Ltd,Strong return on capital employed: 33.5%. ||| Healthy average ROE: 26.5%. ||| High return on equity: 23.0% (10 Years).,Weak sales growth: only 8.0% over 5 Years. ||| Weak sales growth: only 8.0% over 10 Years. ||| Profit growth is low: 9.0% over 5 Years.,2025-08-15T12:09:30.445332
BAJAJFINSV,Bajaj Finserv Ltd,Strong sales growth: 34.0% over 10 Years. ||| Profit growth is robust: 28.0% over 3 Years. ||| High return on equity: 24.0% (3 Years).,,2025-08-15T12:09:30.445332
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Strong sales growth: 55.0% over 3 Years. ||| Strong sales growth: 32.0% over 5 Years. ||| Profit growth is robust: 26.0% over 3 Years.,,2025-08-15T12:09:30.445332
BAJFINANCE,Bajaj Finance Ltd,Profit growth is robust: 48.0% over 3 Years. ||| Profit growth is robust: 29.0% over 5 Years. ||| Strong sales growth: 27.0% over 3 Years.,,2025-08-15T12:09:30.445332
BANKBARODA,Bank of Baroda,Profit growth is robust: 127.0% over 3 Years. ||| Profit growth is robust: 75.0% over 5 Years. ||| Strong sales growth: 17.0% over 3 Years.,Low return on capital employed: 6.3%. ||| Low return on equity: 8.0% (10 Years). ||| Low return on equity: 10.0% (5 Years).,2025-08-15T12:09:30.445332
